재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월	당기 1분기 누적	전기 1분기 3개월	전기 1분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	entity00148540_udf_IS_2021317164541718_IncomeStatementAbstract	영업수익	107,052,780,000	107,052,780,000	75,819,010,000	75,819,010,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	18,785,832,000	18,785,832,000	18,028,058,000	18,028,058,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	88,266,948,000	88,266,948,000	57,790,952,000	57,790,952,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost	기타순손익	11,736,000	11,736,000	86,494,000	86,494,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	428,947,000	428,947,000	492,289,000	492,289,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	ifrs-full_FinanceCosts	금융비용	1,446,052,000	1,446,052,000	1,989,399,000	1,989,399,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	87,261,579,000	87,261,579,000	56,380,336,000	56,380,336,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	2,058,690,000	2,058,690,000	1,534,073,000	1,534,073,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	당기순이익	85,202,889,000	85,202,889,000	54,846,263,000	54,846,263,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주주당순이익	2,540	2,540	1,635	1,635		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-03-31	1분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주희석주당순이익	2,540	2,540	1,635	1,635		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2022-03-31	1분기보고서	KRW	ifrs-full_Revenue	매출액	1,915,024,813,423	1,915,024,813,423	1,749,758,430,184	1,749,758,430,184		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2022-03-31	1분기보고서	KRW	ifrs-full_CostOfSales	매출원가	1,744,734,882,705	1,744,734,882,705	1,613,836,170,149	1,613,836,170,149		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2022-03-31	1분기보고서	KRW	ifrs-full_GrossProfit	매출총이익	170,289,930,718	170,289,930,718	135,922,260,035	135,922,260,035		
